https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume USD
1651557600000,2022-05-03 06:00:00,UST/USD,1.0,1.001,0.999,0.999,20017.559135,19997.541575864998
1651554000000,2022-05-03 05:00:00,UST/USD,1.001,1.001,1.0,1.0,4012.310189,4012.310189
1651550400000,2022-05-03 04:00:00,UST/USD,0.999,1.001,0.999,1.001,6198.001661,6204.199662661
1651546800000,2022-05-03 03:00:00,UST/USD,1.001,1.001,0.999,0.999,2801.886699,2799.084812301
1651543200000,2022-05-03 02:00:00,UST/USD,1.001,1.001,0.999,1.001,18422.364656,18440.787020656
1651539600000,2022-05-03 01:00:00,UST/USD,1.0,1.001,0.999,1.001,2971.743912,2974.7156559119994
1651536000000,2022-05-03 00:00:00,UST/USD,0.999,1.001,0.999,1.0,8586.871754,8586.871754
1651532400000,2022-05-02 23:00:00,UST/USD,1.0,1.001,0.999,0.999,108455.543269,108347.087725731
1651528800000,2022-05-02 22:00:00,UST/USD,1.001,1.001,0.999,1.0,12842.673593,12842.673593
1651525200000,2022-05-02 21:00:00,UST/USD,1.001,1.001,0.999,1.001,8845.050161,8853.895211160998
1651521600000,2022-05-02 20:00:00,UST/USD,1.001,1.001,0.999,1.001,48507.569533,48556.077102532996
1651518000000,2022-05-02 19:00:00,UST/USD,1.001,1.001,0.999,1.001,56801.356492,56858.157848491996
1651514400000,2022-05-02 18:00:00,UST/USD,1.0,1.001,0.999,1.001,466957.883551,467424.84143455094
1651510800000,2022-05-02 17:00:00,UST/USD,0.999,1.0,0.999,1.0,177487.768053,177487.768053
1651507200000,2022-05-02 16:00:00,UST/USD,0.999,1.001,0.999,0.999,142027.038446,141885.011407554
1651503600000,2022-05-02 15:00:00,UST/USD,1.0,1.0,0.999,0.999,15521.029831,15505.508801169
1651500000000,2022-05-02 14:00:00,UST/USD,1.0,1.0,0.999,1.0,7095.765359,7095.765359
1651496400000,2022-05-02 13:00:00,UST/USD,0.999,1.0,0.999,1.0,36800.461493,36800.461493
1651492800000,2022-05-02 12:00:00,UST/USD,0.999,1.0,0.999,0.999,2354.698368,2352.343669632
